variable_code,variable_name,unit,range_check_minimum,range_check_maximum
MLW_B,Moss: Liverwort: Boron,%,0,NA
MLW_C,Moss: Liverwort: Carbon,%,0,NA
MLW_Ca,Moss: Liverwort: Calcium,%,0,NA
MLW_Cu,Moss: Liverwort: Copper,%,0,NA
MLW_Fe,Moss: Liverwort: Iron,%,0,NA
MLW_K,Moss: Liverwort: Potassium,%,0,NA
MLW_Mg,Moss: Liverwort: Magnesium,%,0,NA
MLW_Mn,Moss: Liverwort: Manganese,%,0,NA
MLW_N,Moss: Liverwort: Nitrogen,%,0,NA
MLW_Na,Moss: Liverwort: Sodium,%,0,NA
MLW_P,Moss: Liverwort: Phosphorus,%,0,NA
MLW_S,Moss: Liverwort: Sulfur,%,0,NA
MLW_Zn,Moss: Liverwort: Zinc,%,0,NA
Mn,Manganese,mg/L,0,100
Mo,Molybdenum,mg/L,0,1000000
MS_Al,Moss: Schistidium: Aluminum,%,0,NA
MS_B,Moss: Schistidium: Boron,%,0,NA
MS_C,Moss: Schistidium: Carbon,%,0,NA
MS_Ca,Moss: Schistidium: Calcium,%,0,NA
MS_Cu,Moss: Schistidium: Copper,%,0,NA
MS_Fe,Moss: Schistidium: Iron,%,0,NA
MS_K,Moss: Schistidium: Potassium,%,0,NA
MS_Mg,Moss: Schistidium: Magnesium,%,0,NA
MS_Mn,Moss: Schistidium: Manganese,%,0,NA
MS_N,Moss: Schistidium: Nitrogen,%,0,NA
MS_Na,Moss: Schistidium: Sodium,%,0,NA
MS_P,Moss: Schistidium: Phosphorus,%,0,NA
MS_S,Moss: Schistidium: Sulfur,%,0,NA
MS_Zn,Moss: Schistidium: Zinc,%,0,NA
N2O,Nitrous Oxide,ppm,0,NA
Na,Sodium,mg/L,0,10000
Nb,Niobium,mg/L,0,1000000
Nd,Neodymium,mg/L,0,1000000
Nd145,Neodymium-145,mg/L,0,1000000
NH3_N,Ammonia-N,mg/L,0,100
NH4,Ammonium,mg/L,0,100
NH4_N,Ammonium-N,mg/L,0,100
NH4_NH3_N,Ammonia-N and Ammonium-N,mg/L,0,100
Ni,Nickel,mg/L,0,1000000
Ni60,Nickel-60,mg/L,0,1000000
NO2,Nitrite,mg/L,0,1000000
NO2_N,Nitrite-N,mg/L,0,1000000
NO3,Nitrate,mg/L,0,100
NO3_N,Nitrate-N,mg/L,0,100
NO3_NO2,Nitrate and nitrite,mg/L,0,1000000
NO3_NO2_N,Nitrate-N and nitrite-N,mg/L,0,1000000
OMAl,Aluminum OM,mg/L,0,10
Os,Osmium,mg/L,0,1000000
P,Phosphorus,mg/L,0,100
PAR,Photosynthetically Active Radiation,uM/m^2/s,0,NA
Pb,Lead,mg/L,0,1000000
Pd,Palladium,mg/L,0,1000000
perimeter,Perimeter,m,0,NA
pH,pH,unitless,0,14
phaeopig,Phaeopigment,mg/L,0,1000000
pheophy,Sestonic Phaeophytin,mg/L,0,1000000
pHmetrohm,pH Metrohm,unitless,0,NA
PO4,Phosphate,mg/L,0,100
PO4_P,Phosphate-P,mg/L,0,100
POC,Particulate Organic Carbon,mg/L,0,1000000
PON,Particulate Organic Nitrogen,mg/L,0,1000000
Pr,Praseodymium,mg/L,0,1000000
precipitation,Precipitation at gauge,mm,0,NA
Pt,Platinum,mg/L,0,1000000
Rb,Rubidium,mg/L,0,1000000
Re,Rhenium,mg/L,0,1000000
Rh,Rhodium,mg/L,0,1000000
Ru,Ruthenium,mg/L,0,1000000
S,Sulfer,mg/L,0,1000000
salinity,Salinity,ppt,0,1000000
Sb,Antimony,mg/L,0,1000000
Sc,Scandium,mg/L,0,1000000
Se,Selenium,mg/L,0,1000000
Se78,Selenium-78,mg/L,0,1000000
Si,Silicon,mg/L,0,1000000
SiO2,Silica,mg/L,0,1000
SiO2_Si,Silica-Si,mg/L,0,1000
SiO3,Silicate,mg/L,0,1000
SiO3_Si,Silicate-Si,mg/L,0,1000
Sm,Samarium,mg/L,0,1000000
Sm147,Samarium-147,mg/L,0,1000000
Sn,Tin,mg/L,0,1000000
Sn118,Tin-118,mg/L,0,1000000
SO4,Sulfate,mg/L,0,10000
SO4_S,Sulfate-S,mg/L,0,10000
spCond,Specific Conductivity,uS/cm,0,20000
Sr,Strontium,mg/L,0,1000000
SRP,Soluble Reactive Phosphorus,mg/L,0,1000000
suspSed,Suspended Sediment,mg/L,0,100000
T_ECHL,Epilithic Total Chlorophyll,mg/cm2,0,NA
Ta,Tantalum,mg/L,0,1000000
Tb,Terbium,mg/L,0,1000000
TC,Total Carbon,mg/L,0,1000000
TCHL,Sestonic Total Chlorophyll,mg/L,0,1000000
TDN,Total Dissolved Nitrogen,mg/L,0,3000
TDP,Total Dissolved Phosphorus,mg/L,0,100
TDS,Total Dissolved Solids,mg/L,0,1000000
Te,Tellurium,mg/L,0,1000000
temp,Water Temperature,degrees C,-100,100
Th,Thorium,mg/L,0,1000000
theoryCond,Theoretical Conductivity,uS/cm,0,NA
Ti,Titanium,mg/L,0,1000000
Ti49,Titanium-49,mg/L,0,1000000
TIC,Total Inorganic Carbon,mg/L,0,1000000
TIN,Total Inorganic Nitrogen,mg/L,0,1000000
TIP,Total Inorganic Phosphorus,mg/L,0,1000000
TKN,Total Kjeldahl Nitrogen,mg/L,0,2000
Tl,Thallium,mg/L,0,1000000
Tm,Thulium,mg/L,0,1000000
TMAl,Aluminum TM,mg/L,0,10
TN,Total Nitrogen,mg/L,0,1000000
TOC,Total Organic Carbon,mg/L,0,1000000
TP,Total Phosphorus,mg/L,0,1000000
TPC,Total Particulate Carbon,mg/L,0,1000000
TPN,Total Particulate Nitrogen,mg/L,0,1000000
TPP,Total Particulate Phosphorus,mg/L,0,1000000
TSS,Total Suspended Solids,mg/L,0,1000000
turbid,Turbidity,FNU,0,NA
U,Uranium,mg/L,0,1000000
UTKN,Unfilt. Total Kjeldahl Nitrogen,mg/L,0,2000
UTN,Unfiltered Total Nitrogen,mg/L,0,5000
UTP,Unfiltered Total Phosphorus,mg/L,0,10000
V,Vanadium,mg/L,0,1000000
VSS,Volatile Suspended Sediment,mg/L,0,1000000
W,Tungsten,mg/L,0,1000000
Y,Yttrium,mg/L,0,1000000
Yb,Ytterbium,mg/L,0,1000000
Zn,Zinc,mg/L,0,1000000
Zr,Zirconium,mg/L,0,1000000
