variable_code,variable_name,unit
lg_nlcd_ice_snow,Perennial Ice/Snow,%
lg_nlcd_moss,Moss,%
lg_nlcd_pasture,Pasture/Hay,%
lg_nlcd_sedge,Sedge/Herbaceous,%
lg_nlcd_shrub,Shrub/Scrub,%
lg_nlcd_shrub_dwr,Dwarf Scrub,%
lg_nlcd_water,Open Water,%
lg_nlcd_wetland_herb,Emergent Herbaceous Wetland,%
lg_nlcd_wetland_wood,Woody Wetland,%
pd_geo_Al2O3_mean,Lithological aluminum oxide Mean,%
pd_geo_Al2O3_sd,Lithological aluminum oxide Standard Deviation,%
pd_geo_CaO_mean,Lithological calcium oxide Mean,%
pd_geo_CaO_sd,Lithological calcium oxide Standard Deviation,%
pd_geo_CompressStrength_mean,Lithological uniaxial compressive strength Mean,MPa
pd_geo_CompressStrength_sd,Lithological uniaxial compressive strength Standard Deviation,MPa
pd_geo_Fe2O3_mean,Lithological ferric oxide Mean,%
pd_geo_Fe2O3_sd,Lithological ferric oxide Standard Deviation,%
pd_geo_HydaulicCond_mean,Lithological hydraulic conductivity Mean,um/s
pd_geo_HydaulicCond_sd,Lithological hydraulic conductivity Standard Deviation,um/s
pd_geo_K2O_mean,Lithological potassium oxide Mean,%
pd_geo_K2O_sd,Lithological potassium oxide Standard Deviation,%
pd_geo_MgO_mean,Lithological magnesium oxide Mean,%
pd_geo_MgO_sd,Lithological magnesium oxide Standard Deviation,%
pd_geo_N_mean,Lithological nitrogen Mean,%
pd_geo_N_sd,Lithological nitrogen Standard Deviation,%
pd_geo_Na2O_mean,Lithological sodium oxide Mean,%
pd_geo_Na2O_sd,Lithological sodium oxide Standard Deviation,%
pd_geo_P2O5_mean,Lithological phosphorus pentoxide Mean,%
pd_geo_P2O5_sd,Lithological phosphorus pentoxide Standard Deviation,%
pd_geo_S_mean,Lithological sulfur Mean,%
pd_geo_S_sd,Lithological sulfur Standard Deviation,%
pd_geo_SiO2_mean,Lithological silicon dioxide Mean,%
pd_geo_SiO2_sd,Lithological silicon dioxide Standard Deviation,%
pf_soil_awc,Mean Soil Available Water Content,cm/cm
pf_soil_cat_exchange_7,Mean Cation-exchange capacity,meq
pf_soil_clay,Soil Clay Content,%
pf_soil_org,Soil Organic Matter,%
pf_soil_ph,Mean pH,unitless
pf_soil_sand,Soil Sand Content,%
pf_soil_silt,Soil Silt Content,%
pf_soil_water_0.1bar,Water Content at 1/10 bar,%
pf_soil_water_0.33bar,Water Content at 1/3 bar,%
pf_soil_water_0bar,Water Content at 0 bar,%
pf_soil_water_15bar,Water Content at 15 bar,%
pi_soil_thickness,Mean Soil Thinkness,m
pm_sub_surf_permeability_mean,Mean Subsurface Permeability (log10),NA
pm_sub_surf_permeability_perm_mean,Mean Subsurface Permeability with Permafrost (log10),NA
pm_sub_surf_permeability_perm_sd,Mean Subsurface Permeability with Permafrost Standard Deviation,NA
pm_sub_surf_permeability_sd,Mean Subsurface Permeability Standard Deviation,NA
pm_sub_surf_porosity_mean,Mean Subsurface Porosity,NA
pm_sub_surf_porosity_sd,Subsurface Porosity Standard Deviation,NA
te_aspect_mean,Mean Aspect,degrees
te_aspect_sd,Aspect Standard Deviation,degrees
te_elev_max,Maximum Elevation,m
te_elev_mean,Mean Elevation,m
te_elev_min,Minimum Elevation,m
te_elev_sd,Elevation Standard Deviation,m
te_slope_mean,Mean Slope,%
te_slope_sd,Slope Standard Deviation,%
va_gpp_median,Daily Median,kg*C/m^2
va_gpp_sd,Daily Standard Deviation,kg*C/m^2
va_gpp_sd_space,Watershed Standard Deviation GPP,kg*C/m^2
va_gpp_sd_year,Annual Standard Deviation GPP,kg*C/m^2
va_gpp_sum,Annual GPP,kg*C/m^2
va_npp_median,Annual NPP,kg*C/m^2
va_npp_sd,Watershed Standard Deviation NPP,kg*C/m^2
vb_bare_cover_median,Watershed Median Bare Cover,%
vb_bare_cover_sd,Watershed Standard Deviation Bare Cover,%
vb_fpar_max,Annual Maximum FPAR,%
vb_fpar_mean,Annual Mean FPAR,%
vb_fpar_median,Daily Median,%
vb_fpar_min,Annual Minimum FPAR,%
vb_fpar_sd,Daily Standard Deviation,%
vb_fpar_sd_space,Watershed Standard Deviation FPAR,%
vb_fpar_sd_year,Annual Standard Deviation FPAR,%
vb_lai_max,Annual Maximum LAI,m2/m2
vb_lai_mean,Annual Mean LAI,m2/m2
vb_lai_median,Daily Median,m2/m2
vb_lai_min,Annual Minimum LAI,m2/m2
vb_lai_sd,Daily Standard Deviation,m2/m2
vb_lai_sd_space,Watershed Standard Deviation LAI,m2/m2
vb_lai_sd_year,Annual Standard Deviation LAI,m2/m2
vb_ndvi_max,Annual Maximum NDVI,unitless
vb_ndvi_mean,Annual NDVI Mean,unitless
vb_ndvi_median,Daily Median NDVI,unitless
vb_ndvi_min,Annual NDVI Minimum,unitless
vb_ndvi_sd,Daily NDVI Standard Deviation,unitless
vb_ndvi_sd_space,Annual Mean spatial Standard Deviation,unitless
vb_ndvi_sd_year,Annual NDVI Standard Deviation,unitless
vb_tree_cover_median,Watershed Median Tree Cover,%
vb_tree_cover_sd,Watershed Standard Deviation Tree Cover,%
vb_veg_cover_median,Watershed Median Non-Tree Vegetation,%
vb_veg_cover_sd,Watershed Standard Deviation Non-Tree Vegetation,%
vd_eos_mean,End of Growing Season Watershed Mean,DOY
vd_eos_sd,End of Growing Season Standard Deviation,DOY
vd_los_mean,Length of Growing Season Watershed Mean,DOY
vd_los_sd,Length of Growing Season Watershed Standard Deviation,DOY
vd_mos_mean,Max Day in Growing Season Watershed Mean,DOY
vd_mos_sd,Max Day in Growing Season Watershed Standard Deviation,DOY
vd_sos_mean,Start of Growing Season Watershed Mean,DOY
vd_sos_sd,Start of Growing Season Standard Deviation,DOY
vj_tcw_max,Tasseled Cap Wetness Annual Maximum,unitless
vj_tcw_mean,Tasseled Cap Wetness Mean Annual,unitless
vj_tcw_median,Tasseled Cap Wetness Median,unitless
vj_tcw_min,Tasseled Cap Wetness Annual Minimum,unitless
vj_tcw_sd,Tasseled Cap Wetness Standard Deviation,unitless
vj_tcw_sd_year,Tasseled Cap Wetness Annual Standard Deviation,unitless
