dobj,hasNextVersion,spec,fileName,size,submTime,timeStart,timeEnd
https://meta.fieldsites.se/objects/5kTRSweW288Cl2Z2j47hNEbG,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_VAB-C2_20200115-20201215_L2_IRREGULAR.csv,14384,2023-03-31T08:22:03.999Z,2020-01-15T13:17:00Z,2020-12-15T11:00:00Z
https://meta.fieldsites.se/objects/GT_0c2LHVactC5yaz_Yzgp_-,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_STB-C5_20200115-20201215_L2_IRREGULAR.csv,14797,2023-03-31T08:21:40.093Z,2020-01-15T10:14:00Z,2020-12-15T13:25:00Z
https://meta.fieldsites.se/objects/7V0yeMW67IMXjdNC5xQ2WVN0,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_STB-C6_20200115-20201215_L2_IRREGULAR.csv,14877,2023-03-31T08:21:14.960Z,2020-01-15T14:29:00Z,2020-12-15T14:17:00Z
https://meta.fieldsites.se/objects/Rt4Wt5HbMH0NDAu_42ZUdEny,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_RIS-C1_20200115-20201215_L2_IRREGULAR.csv,14860,2023-03-31T08:20:52.255Z,2020-01-15T12:32:00Z,2020-12-15T11:00:00Z
https://meta.fieldsites.se/objects/okbBqTM0Vn4Xw0fziNAt0Noe,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_NAB-C9_20200115-20201215_L2_IRREGULAR.csv,14907,2023-03-31T08:20:25.765Z,2020-01-15T12:05:00Z,2020-12-15T11:00:00Z
https://meta.fieldsites.se/objects/_Lw4Mg0wcvgnBzL9kRrzxejx,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_LAB-C13_20200115-20201216_L2_IRREGULAR.csv,14911,2023-03-31T08:19:49.914Z,2020-01-15T13:36:00Z,2020-12-16T15:21:00Z
https://meta.fieldsites.se/objects/WmGXgCTSSLUUtQ4JtMy4_nIH,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_KRY-C16_20200115-20201216_L2_IRREGULAR.csv,14859,2023-03-31T08:19:25.229Z,2020-01-15T12:26:00Z,2020-12-16T11:00:00Z
https://meta.fieldsites.se/objects/8Ee2QUPQogHfDLxzuIONqDff,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_KKM-C4_20200115-20201215_L2_IRREGULAR.csv,14550,2023-03-31T08:19:03.513Z,2020-01-15T14:00:00Z,2020-12-15T12:44:00Z
https://meta.fieldsites.se/objects/McGldsZc_VJ23f0Kdba5ER1g,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_KKB-C7_20200115-20201215_L2_IRREGULAR.csv,14578,2023-03-31T08:18:29.344Z,2020-01-15T12:57:00Z,2020-12-15T11:00:00Z
https://meta.fieldsites.se/objects/5BS1sf68_sxaYYQRgQ7IGqhl,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_KRY-C16_20210111-20211214_L2_IRREGULAR.csv,14528,2023-03-31T08:12:08.805Z,2021-01-11T08:46:00Z,2021-12-14T12:53:00Z
https://meta.fieldsites.se/objects/T5okS7L-lDPoHOHXXvzgZUbT,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_LAB-C13_20210111-20211214_L2_IRREGULAR.csv,14511,2023-03-31T08:11:52.168Z,2021-01-11T11:00:00Z,2021-12-14T13:51:00Z
https://meta.fieldsites.se/objects/ZtchogJFIWx02U4NJuL_1Pn8,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_NAB-C9_20210111-20211214_L2_IRREGULAR.csv,14540,2023-03-31T08:11:29.994Z,2021-01-11T14:20:00Z,2021-12-14T11:00:00Z
https://meta.fieldsites.se/objects/1_ZTLLIi_2VKcyxghPhjf8IM,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_KKB-C7_20210111-20211214_L2_IRREGULAR.csv,14207,2023-03-31T08:11:05.895Z,2021-01-11T11:00:00Z,2021-12-14T15:02:00Z
https://meta.fieldsites.se/objects/DYJbtGNT9f95CijR8w5_NoOx,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_STB-C6_20210111-20211214_L2_IRREGULAR.csv,14676,2023-03-31T08:10:36.516Z,2021-01-11T11:00:00Z,2021-12-14T11:00:00Z
https://meta.fieldsites.se/objects/_xyVtp4aPMYEbqpLgCbF6WC0,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_STB-C5_20210111-20211214_L2_IRREGULAR.csv,14415,2023-03-31T08:09:56.905Z,2021-01-11T11:00:00Z,2021-12-14T10:42:00Z
https://meta.fieldsites.se/objects/EQYob8fTRaIYvhVcxMRcPrq3,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_KKM-C4_20210111-20211214_L2_IRREGULAR.csv,14222,2023-03-31T08:09:33.013Z,2021-01-11T15:01:00Z,2021-12-14T11:00:00Z
https://meta.fieldsites.se/objects/vPZJV7GkIiemUSARrkAuh1-O,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_VAB-C2_20210111-20211214_L2_IRREGULAR.csv,14236,2023-03-31T08:09:05.379Z,2021-01-11T15:35:00Z,2021-12-14T15:22:00Z
https://meta.fieldsites.se/objects/oJEumgfUvNyO_r_dSxw5hNGm,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_RIS-C1_20210111-20211214_L2_IRREGULAR.csv,14575,2023-03-31T08:08:09.155Z,2021-01-11T13:51:00Z,2021-12-14T11:00:00Z
https://meta.fieldsites.se/objects/O8KRUSYzsWiSWFvtQyEa1TTt,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_VAB-C2_20220113-20221109_L2_IRREGULAR.csv,11841,2023-03-31T08:05:21.609Z,2022-01-13T14:27:00Z,2022-11-09T14:08:00Z
https://meta.fieldsites.se/objects/iQ6VlJ7GnPRo-PSsooTPOAv6,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_STB-C6_20220210-20221121_L2_IRREGULAR.csv,11683,2023-03-31T08:04:55.013Z,2022-02-10T15:35:00Z,2022-11-21T14:20:00Z
https://meta.fieldsites.se/objects/s0Jizc9v_pa6CjvjBzNfar90,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_STB-C5_20220113-20221121_L2_IRREGULAR.csv,11693,2023-03-31T08:04:41.593Z,2022-01-13T11:11:00Z,2022-11-21T12:38:00Z
https://meta.fieldsites.se/objects/WVjIJwshqBegtHlRwnyyYK7U,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_RIS-C1_20220109-20221109_L2_IRREGULAR.csv,11861,2023-03-31T08:04:06.502Z,2022-01-09T10:18:00Z,2022-11-09T10:08:00Z
https://meta.fieldsites.se/objects/d_xcFTGowJqQxWGaPcgZX3b5,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_NAB-C9_20220210-20221109_L2_IRREGULAR.csv,11712,2023-03-31T08:03:44.982Z,2022-02-10T13:51:00Z,2022-11-09T09:50:00Z
https://meta.fieldsites.se/objects/Bas6bL9RO41RSzZaSeYSt7dz,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_LAB-C13_20220113-20221109_L2_IRREGULAR.csv,11853,2023-03-31T08:03:14.739Z,2022-01-13T13:28:00Z,2022-11-09T09:28:00Z
https://meta.fieldsites.se/objects/q7BKdJDcY5wKKjaUgkGIvTkl,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_KRY-C16_20220113-20221109_L2_IRREGULAR.csv,11650,2023-03-31T08:01:44.489Z,2022-01-13T15:58:00Z,2022-11-09T08:48:00Z
https://meta.fieldsites.se/objects/x_ru0wshrQ8UR7fWthUUYni0,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_KKM-C4_20220210-20221121_L2_IRREGULAR.csv,11536,2023-03-31T08:01:23.063Z,2022-02-10T14:32:00Z,2022-11-21T13:40:00Z
https://meta.fieldsites.se/objects/fzYPjgNLmJOOOxqOVLCcpQQu,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_KKB-C7_20220113-20221109_L2_IRREGULAR.csv,11643,2023-03-31T08:01:00.670Z,2022-01-13T14:07:00Z,2022-11-09T13:53:00Z
https://meta.fieldsites.se/objects/TRsK5PIw9fT8JSZQpaVlVp4X,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_C6_20160101-20161231_2_IRREGULAR.csv,12439,2020-10-05T07:36:28.794Z,2016-01-19T13:33:00Z,2016-12-06T11:00:00Z
https://meta.fieldsites.se/objects/3EG5c9yypUtf5_js_lxWi89k,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_C6_20150101-20151231_L2_IRREGULAR.csv,13617,2020-10-05T07:35:42.842Z,2015-01-20T14:15:00Z,2015-12-15T15:14:00Z
https://meta.fieldsites.se/objects/W8zJcUBASYxfp2FqUFZibyAX,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_C6_20140101-20141231_L2_IRREGULAR.csv,11053,2020-10-05T07:35:03.821Z,2014-01-27T15:20:00Z,2014-12-16T12:57:00Z
https://meta.fieldsites.se/objects/-dmYdmjTx08fN-E1GIKYmEkH,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_C6_20130101-20131231_L2_IRREGULAR.csv,10440,2020-10-05T07:34:11.348Z,2013-01-22T09:40:00Z,2013-12-17T12:30:00Z
https://meta.fieldsites.se/objects/0WnZpY-uMIIGAN6PR8JpuVti,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_C6_20120101-20121231_L2_IRREGULAR.csv,11669,2020-10-05T07:33:36.007Z,2012-01-19T09:00:00Z,2012-12-18T14:30:00Z
https://meta.fieldsites.se/objects/vX5OpgNGRG6ZfI9BVCmjJuIU,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_C6_20110101-20111231_2_IRREGULAR.csv,11167,2020-10-05T07:32:43.472Z,2011-01-18T11:15:00Z,2011-12-20T08:10:00Z
https://meta.fieldsites.se/objects/fBPER6r0i9x9kfltFZyhlpy0,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_C5_20160101-20161231_L2_IRREGULAR.csv,12315,2020-10-05T07:31:12.872Z,2016-01-19T11:14:00Z,2016-12-06T11:00:00Z
https://meta.fieldsites.se/objects/lsGb-gR88_tnGC9W_2GnRW8y,false,https://meta.fieldsites.se/resources/objspecs/chemical-variables-stream,SITES_CHE-S_SVB_C5_20150101-20151231_L2_IRREGULAR.csv,13557,2020-10-05T07:30:32.511Z,2015-01-20T11:05:00Z,2015-12-15T12:55:00Z
