macrosheds_var,usgs_code,sampling,sensor
discharge,60,I,S
temp,00010,I,S
spCond,00095,I,S
DO,00300,I,S
pH,00400,I,S
turbid_FNU,63680,I,S
UTP,00665,G,N
Cl,00940,G,N
NH4_NH3_N,00608,G,N
suspSed,80154,G,N
TN,00600,G,N
NO3_NO2_N,00631,G,N
UTKN,00625,G,N
