"attributeName"	"attributeDefinition"	"class"	"unit"	"dateTimeFormatString"	"missingValueCode"	"missingValueCodeExplanation"
"date"	"date"	"Date"		"Y-M-D"		
"site_code"	"Short name for MacroSheds site. See sites.csv"	"character"				
"grab_sample"	"Logical indicating whether the observation was obtained via grab sample or installed sensor."	"logical"				
"var"	"variable code (see variables_timeseries.csv)"	"character"				
"var_category"	"primarily distinguishes concentration from flux, stream chemistry from precipitation chemistry, and stream flux from precip flux"	"categorical"				
"val"	"data value. See variables_time_series.csv for units"	"numeric"	"variable_unit"		"NA"	"missing value"
"ms_status"	"0 = clean value. 1 = questionable value"	"numeric"	"dimensionless"			
"ms_interp"	"0 = measured or imputed by primary source. 1 = interpolated by MacroSheds"	"numeric"	"dimensionless"			
"val_err"	"The combined standard uncertainty associated with the corresponding data point, or NA if unknown. See 'Detection limits and propagation of uncertainty' section of https://eartharxiv.org/repository/view/3499/"	"numeric"	"variable_unit"		"NA"	"missing value"
