"attributeName"	"attributeDefinition"	"class"	"unit"	"dateTimeFormatString"	"missingValueCode"	"missingValueCodeExplanation"
"datetime"	"date and time in UTC"	"Date"		"Y-M-DTh:m:sZ"		
"site_code"	"Short name for MacroSheds site. See sites.csv"	"character"				
"var"	"variable name and prefix(G = grab sample, I = installed instrument, S = sensor, N = non-sensor)"	"character"				
"var_category"	"the variable category"	"categorical"				
"val"	"data value. See variables_time_series.csv for units"	"numeric"	"variable_unit"		"NA"	"missing value"
"ms_status"	"0 = clean value. 1 = questionable value"	"numeric"	"dimensionless"			
"ms_interp"	"0 = measured or imputed by primary source. 1 = interpolated by MacroSheds"	"numeric"	"dimensionless"			
"val_err"	"The combined standard uncertainty associated with the corresponding data point, or NA if unknown. See 'Detection Limits and Uncertainty' section of https://eartharxiv.org/repository/view/3499/"	"numeric"	"variable_unit"		"NA"	"missing value"
