variable_code,variable_name,unit,variable_type,variable_subtype,valence,flux_convertible
cl_snow_depth_mean,Daily Mean Snow Depth,mm,ws_char,Snow,NA,0
cl_snow_depth_sd,Daily Snow Depth Standard Deviation,mm,ws_char,Snow,NA,0
cl_snow_depth_sd_space,Annual Snow Depth Standard Deviation,mm,ws_char,Snow,NA,0
cl_swe_ann_max,Annual Max Snow Water Equivalent,mm,ws_char,Snow,NA,0
cl_swe_ann_mean,Annual Mean Snow Water Equivalent,mm,ws_char,Snow,NA,0
cl_swe_ann_min,Annual Minimum Snow Water Equivalent,mm,ws_char,Snow,NA,0
cl_swe_mean,Daily Mean Snow Water Equivalent,mm,ws_char,Snow,NA,0
cl_swe_sd,Daily Snow Water Equivalent Standard Deviation,mm,ws_char,Snow,NA,0
cl_swe_sd_space,Annual Snow Water Equivalent Standard Deviation,mm,ws_char,Snow,NA,0
cl_swe_sd_year,Watershed Snow Water Equivalent Standard Deviation,mm,ws_char,Snow,NA,0
Co,Cobalt,mg/L,chem_discrete,Cations,2.5,1
CO2,Carbon Dioxide,ppm,gas,Other,NA,0
CO2_C,Carbon Dioxide-C,mg/L,gas,Other,NA,0
CO3,Carbonate,mg/L,chem_discrete,Anions,2,1
Cr,Chromium,mg/L,chem_discrete,Other,NA,1
Cs,Caesium,mg/L,chem_discrete,Cations,NA,1
Cu,Copper,mg/L,chem_discrete,Other,2,1
CUSTOMprecipitation,Basin Precipitation (determined by source),mm,hydro,Other,NA,0
d18O,Delta 18 Oxygen,ppt,phys,Other,NA,0
deuterium,Deuterium,unitless,phys,Other,NA,0
DIC,Dissolved Inorganic Carbon,mg/L,chem_mix,Other,1,1
DIN,Dissolved Inorganic Nitrogen,mg/L,chem_mix,Other,1,1
discharge,Discharge,L/s,hydro,Other,NA,0
DO,Dissolved Oxygen,mg/L,gas,Other,NA,0
DO_sat,Dissolved Oxygen Percent Saturation,%,gas,Other,NA,0
DOC,Dissolved Organic Carbon,mg/L,chem_mix,Other,1,1
DON,Dissolved Organic Nitrogen,mg/L,chem_mix,Other,1,1
DOP,Dissolved Organic Phosphorus,mg/L,chem_mix,Other,1,1
Dy,Dysprosium,mg/L,chem_discrete,Cations,NA,1
E_pheophy,Epilithic Phaeophytin,mg/cm2,bio,Other,NA,0
ECHL_A,Epilithic Chlorophyll a,mg/cm2,bio,Other,NA,0
Ecoli,Escherichia coli,#/mL,bio,Other,NA,0
Er,Erbium,mg/L,chem_discrete,Cations,NA,1
Eu,Europium,mg/L,chem_discrete,Cations,NA,1
F,Fluorine,mg/L,chem_discrete,Anions,1,1
FDOM,Fluorescent Dissolved Organic Matter,QSU,chem_mix,Other,NA,0
Fe,Iron,mg/L,chem_discrete,Cations,2.5,1
Ga,Gallium,mg/L,chem_discrete,Other,NA,1
Gd,Gadolinium,mg/L,chem_discrete,Cations,NA,1
Gd157,Gadolinium-157,mg/L,chem_discrete,Cations,NA,1
Ge,Germanium,mg/L,chem_discrete,Cations,NA,1
geol_class_EV,Geologic Class Evaporites,%,ws_char,Lithology,NA,0
geol_class_IG,Geologic Class Ice and Glaciers,%,ws_char,Lithology,NA,0
geol_class_MT,Geologic Class Metamorphic Rocks,%,ws_char,Lithology,NA,0
geol_class_ND,Geologic Class No Data,%,ws_char,Lithology,NA,0
geol_class_PA,Geologic Class Acid Plutonic Rocks,%,ws_char,Lithology,NA,0
geol_class_PB,Geologic Class Basic Plutonic Rocks,%,ws_char,Lithology,NA,0
geol_class_PI,Geologic Class Intermediate Plutonic Rock,%,ws_char,Lithology,NA,0
geol_class_PY,Geologic Class Pyroclastics,%,ws_char,Lithology,NA,0
geol_class_SC,Geologic Class Carbonate Sedimentary Rocks,%,ws_char,Lithology,NA,0
geol_class_SM,Geologic Class Mixed Sedimentary Rocks,%,ws_char,Lithology,NA,0
