variable_code,variable_name,unit,variable_type,variable_subtype,valence,flux_convertible
Te,Tellurium,mg/L,chem_discrete,Other,NA,1
te_aspect_mean,Mean Aspect,degrees,ws_char,Terrain,NA,0
te_aspect_sd,Aspect Standard Deviation,degrees,ws_char,Terrain,NA,0
te_elev_max,Maximum Elevation,m,ws_char,Terrain,NA,0
te_elev_mean,Mean Elevation,m,ws_char,Terrain,NA,0
te_elev_min,Minimum Elevation,m,ws_char,Terrain,NA,0
te_elev_sd,Elevation Standard Deviation,m,ws_char,Terrain,NA,0
te_slope_mean,Mean Slope,%,ws_char,Terrain,NA,0
te_slope_sd,Slope Standard Deviation,%,ws_char,Terrain,NA,0
temp,Water Temperature,degrees C,phys,Other,NA,0
Th,Thorium,mg/L,chem_discrete,Cations,NA,1
theoryCond,Theoretical Conductivity,uS/cm,chem_mix,Other,NA,0
Ti,Titanium,mg/L,chem_discrete,Cations,2.5,1
Ti49,Titanium-49,mg/L,chem_discrete,Cations,2.5,1
TIC,Total Inorganic Carbon,mg/L,chem_mix,Other,1,1
TIN,Total Inorganic Nitrogen,mg/L,chem_mix,Other,1,1
TIP,Total Inorganic Phosphorus,mg/L,chem_mix,Other,1,1
TKN,Total Kjeldahl Nitrogen,mg/L,chem_mix,Other,1,1
Tl,Thallium,mg/L,chem_discrete,Cations,NA,1
Tm,Thulium,mg/L,chem_discrete,Cations,NA,1
TMAl,Aluminum TM,mg/L,chem_discrete,Other,3,1
TN,Total Nitrogen,mg/L,chem_mix,Other,1,1
TOC,Total Organic Carbon,mg/L,chem_mix,Other,1,1
TP,Total Phosphorus,mg/L,chem_mix,Other,1,1
TPC,Total Particulate Carbon,mg/L,chem_mix,Other,NA,0
TPN,Total Particulate Nitrogen,mg/L,chem_mix,Other,NA,0
TPP,Total Particulate Phosphorus,mg/L,chem_mix,Other,NA,0
TSS,Total Suspended Solids,mg/L,phys,Other,NA,0
turbid,Turbidity,FNU,phys,Other,NA,0
U,Uranium,mg/L,chem_discrete,Cations,NA,1
UTKN,Unfilt. Total Kjeldahl Nitrogen,mg/L,chem_mix,Other,1,1
UTN,Unfiltered Total Nitrogen,mg/L,chem_mix,Other,1,1
UTP,Unfiltered Total Phosphorus,mg/L,chem_mix,Other,1,1
V,Vanadium,mg/L,chem_discrete,Cations,NA,1
va_gpp_median,Daily Median,kg*C/m^2,ws_char,Gross Primary Production,NA,0
va_gpp_sd,Daily Standard Deviation,kg*C/m^2,ws_char,Gross Primary Production,NA,0
va_gpp_sd_space,Watershed Standard Deviation GPP,kg*C/m^2,ws_char,Gross Primary Production,NA,0
va_gpp_sd_year,Annual Standard Deviation GPP,kg*C/m^2,ws_char,Gross Primary Production,NA,0
va_gpp_sum,Annual GPP,kg*C/m^2,ws_char,Gross Primary Production,NA,0
va_npp_median,Annual NPP,kg*C/m^2,ws_char,Net Primary Production,NA,0
va_npp_sd,Watershed Standard Deviation NPP,kg*C/m^2,ws_char,Net Primary Production,NA,0
vb_bare_cover_median,Watershed Median Bare Cover,%,ws_char,MODIS Land Cover,NA,0
vb_bare_cover_sd,Watershed Standard Deviation Bare Cover,%,ws_char,MODIS Land Cover,NA,0
vb_fpar_max,Annual Maximum FPAR,%,ws_char,Fraction of Absorbed Photosynthetically Active Radiation,NA,0
vb_fpar_mean,Annual Mean FPAR,%,ws_char,Fraction of Absorbed Photosynthetically Active Radiation,NA,0
vb_fpar_median,Daily Median,%,ws_char,Fraction of Absorbed Photosynthetically Active Radiation,NA,0
vb_fpar_min,Annual Minimum FPAR,%,ws_char,Fraction of Absorbed Photosynthetically Active Radiation,NA,0
vb_fpar_sd,Daily Standard Deviation,%,ws_char,Fraction of Absorbed Photosynthetically Active Radiation,NA,0
vb_fpar_sd_space,Watershed Standard Deviation FPAR,%,ws_char,Fraction of Absorbed Photosynthetically Active Radiation,NA,0
vb_fpar_sd_year,Annual Standard Deviation FPAR,%,ws_char,Fraction of Absorbed Photosynthetically Active Radiation,NA,0
vb_lai_max,Annual Maximum LAI,m2/m2,ws_char,Leaf Area Index,NA,0
vb_lai_mean,Annual Mean LAI,m2/m2,ws_char,Leaf Area Index,NA,0
vb_lai_median,Daily Median,m2/m2,ws_char,Leaf Area Index,NA,0
vb_lai_min,Annual Minimum LAI,m2/m2,ws_char,Leaf Area Index,NA,0
vb_lai_sd,Daily Standard Deviation,m2/m2,ws_char,Leaf Area Index,NA,0
vb_lai_sd_space,Watershed Standard Deviation LAI,m2/m2,ws_char,Leaf Area Index,NA,0
vb_lai_sd_year,Annual Standard Deviation LAI,m2/m2,ws_char,Leaf Area Index,NA,0
vb_ndvi_max,Annual Maximum NDVI,unitless,ws_char,NDVI,NA,0
vb_ndvi_mean,Annual NDVI Mean,unitless,ws_char,NDVI,NA,0
vb_ndvi_median,Daily Median NDVI,unitless,ws_char,NDVI,NA,0
vb_ndvi_min,Annual NDVI Minimum,unitless,ws_char,NDVI,NA,0
vb_ndvi_sd,Daily NDVI Standard Deviation,unitless,ws_char,NDVI,NA,0
vb_ndvi_sd_space,Annual Mean spatial Standard Deviation,unitless,ws_char,NDVI,NA,0
vb_ndvi_sd_year,Annual NDVI Standard Deviation,unitless,ws_char,NDVI,NA,0
vb_tree_cover_median,Watershed Median Tree Cover,%,ws_char,MODIS Land Cover,NA,0
vb_tree_cover_sd,Watershed Standard Deviation Tree Cover,%,ws_char,MODIS Land Cover,NA,0
vb_veg_cover_median,Watershed Median Non-Tree Vegetation,%,ws_char,MODIS Land Cover,NA,0
vb_veg_cover_sd,Watershed Standard Deviation Non-Tree Vegetation,%,ws_char,MODIS Land Cover,NA,0
vd_eos_mean,End of Growing Season Watershed Mean,DOY,ws_char,Phenology,NA,0
vd_eos_sd,End of Growing Season Standard Deviation,DOY,ws_char,Phenology,NA,0
vd_los_mean,Length of Growing Season Watershed Mean,DOY,ws_char,Phenology,NA,0
vd_los_sd,Length of Growing Season Watershed Standard Deviation,DOY,ws_char,Phenology,NA,0
vd_mos_mean,Max Day in Growing Season Watershed Mean,DOY,ws_char,Phenology,NA,0
vd_mos_sd,Max Day in Growing Season Watershed Standard Deviation,DOY,ws_char,Phenology,NA,0
vd_sos_mean,Start of Growing Season Watershed Mean,DOY,ws_char,Phenology,NA,0
vd_sos_sd,Start of Growing Season Standard Deviation,DOY,ws_char,Phenology,NA,0
vj_tcw_max,Tasseled Cap Wetness Annual Maximum,unitless,ws_char,Tasseled Cap Wetness,NA,0
vj_tcw_mean,Tasseled Cap Wetness Mean Annual,unitless,ws_char,Tasseled Cap Wetness,NA,0
vj_tcw_median,Tasseled Cap Wetness Median,unitless,ws_char,Tasseled Cap Wetness,NA,0
vj_tcw_min,Tasseled Cap Wetness Annual Minimum,unitless,ws_char,Tasseled Cap Wetness,NA,0
vj_tcw_sd,Tasseled Cap Wetness Standard Deviation,unitless,ws_char,Tasseled Cap Wetness,NA,0
vj_tcw_sd_year,Tasseled Cap Wetness Annual Standard Deviation,unitless,ws_char,Tasseled Cap Wetness,NA,0
VSS,Volatile Suspended Sediment,mg/L,phys,Other,NA,0
W,Tungsten,mg/L,chem_discrete,Other,NA,1
Y,Yttrium,mg/L,chem_discrete,Cations,3,1
Yb,Ytterbium,mg/L,chem_discrete,Cations,NA,1
Zn,Zinc,mg/L,chem_discrete,Other,2,1
Zr,Zirconium,mg/L,chem_discrete,Cations,NA,1
